Slice,PSNR,SSIM,MSE
Cirrus_TEST008_057.tiff,20.811,0.192,0.008296728134155273
Cirrus_TEST008_058.tiff,20.821,0.194,0.00827791728079319
Cirrus_TEST008_059.tiff,20.972,0.199,0.007995209656655788
Cirrus_TEST008_060.tiff,21.143,0.202,0.00768520962446928
Cirrus_TEST008_061.tiff,20.979,0.197,0.007982232607901096
Cirrus_TEST008_062.tiff,20.861,0.191,0.008201089687645435
Cirrus_TEST008_063.tiff,20.834,0.19,0.008253660053014755
Cirrus_TEST008_064.tiff,20.741,0.189,0.008431938476860523
Cirrus_TEST008_065.tiff,20.977,0.196,0.007986078038811684
Cirrus_TEST008_066.tiff,21.068,0.201,0.007820761762559414
Cirrus_TEST008_067.tiff,21.017,0.199,0.00791140180081129
Cirrus_TEST008_068.tiff,20.845,0.194,0.008231422863900661
Cirrus_TEST008_069.tiff,20.702,0.19,0.008508310653269291
Cirrus_TEST008_070.tiff,20.771,0.192,0.008372846059501171
Cirrus_TEST008_071.tiff,20.719,0.193,0.00847422145307064
Cirrus_TEST008_072.tiff,20.679,0.193,0.008552256040275097
Cirrus_TEST008_073.tiff,20.781,0.195,0.008354651741683483
Cirrus_TEST008_074.tiff,20.93,0.199,0.00807312224060297
Cirrus_TEST008_075.tiff,20.883,0.2,0.008161017671227455
Cirrus_TEST008_076.tiff,20.9,0.199,0.008128472603857517
Cirrus_TEST008_077.tiff,20.779,0.199,0.008357650600373745
Cirrus_TEST008_078.tiff,20.623,0.192,0.008663280867040157
Cirrus_TEST008_079.tiff,20.776,0.2,0.00836365856230259
Cirrus_TEST008_080.tiff,20.802,0.199,0.00831354595720768
Cirrus_TEST008_081.tiff,20.723,0.198,0.008466447703540325
Cirrus_TEST008_082.tiff,20.78,0.2,0.008355697616934776
Cirrus_TEST008_083.tiff,20.759,0.2,0.00839636754244566
Cirrus_TEST008_084.tiff,20.853,0.205,0.008217055350542068
Cirrus_TEST008_085.tiff,20.478,0.188,0.008956816047430038
Cirrus_TEST008_086.tiff,20.402,0.194,0.009115882217884064
Cirrus_TEST008_087.tiff,20.621,0.194,0.00866828765720129
Cirrus_TEST008_088.tiff,20.633,0.198,0.008644059300422668
Cirrus_TEST008_089.tiff,20.546,0.194,0.008818958885967731
Cirrus_TEST008_090.tiff,20.724,0.198,0.008464416489005089
Cirrus_TEST008_091.tiff,20.459,0.194,0.008997045457363129
Cirrus_TEST008_092.tiff,20.455,0.191,0.00900570210069418
Cirrus_TEST008_093.tiff,20.705,0.201,0.008501171134412289
Cirrus_TEST008_094.tiff,20.612,0.199,0.008685924112796783
Cirrus_TEST008_095.tiff,20.774,0.206,0.008367855101823807
Cirrus_TEST008_096.tiff,20.879,0.206,0.008167759515345097
Cirrus_TEST008_097.tiff,20.765,0.206,0.008385882712900639
Cirrus_TEST008_098.tiff,20.739,0.205,0.008434776216745377
Cirrus_TEST008_099.tiff,20.717,0.197,0.00847866851836443
Cirrus_TEST008_100.tiff,20.86,0.203,0.00820282194763422
Cirrus_TEST008_101.tiff,20.906,0.206,0.00811635609716177
Cirrus_TEST008_102.tiff,20.874,0.206,0.008176193572580814
Cirrus_TEST008_103.tiff,20.973,0.21,0.007992125116288662
Cirrus_TEST008_104.tiff,21.091,0.215,0.007779066916555166
Cirrus_TEST008_105.tiff,21.172,0.223,0.0076345596462488174
Cirrus_TEST008_106.tiff,20.987,0.213,0.00796627439558506
Cirrus_TEST008_107.tiff,20.853,0.207,0.008216524496674538
Cirrus_TEST008_108.tiff,20.779,0.213,0.008358435705304146
Cirrus_TEST008_109.tiff,20.803,0.205,0.008311819285154343
Cirrus_TEST008_110.tiff,20.856,0.207,0.008211735635995865
Cirrus_TEST008_111.tiff,20.893,0.209,0.008142336271703243
Cirrus_TEST008_112.tiff,20.869,0.207,0.008185703307390213
Cirrus_TEST008_113.tiff,21.112,0.213,0.007741490378975868
