Slice,PSNR,SSIM
Cirrus_TEST008_120.tiff,19.341,0.132
Cirrus_TEST008_121.tiff,19.662,0.15
Cirrus_TEST008_122.tiff,19.419,0.141
Cirrus_TEST008_123.tiff,19.647,0.15
Cirrus_TEST008_124.tiff,19.809,0.145
Cirrus_TEST008_125.tiff,19.696,0.137
Cirrus_TEST008_126.tiff,19.739,0.145
Cirrus_TEST009_001.tiff,19.534,0.15
Cirrus_TEST009_002.tiff,20.019,0.14
Cirrus_TEST009_003.tiff,19.519,0.137
Cirrus_TEST009_004.tiff,19.823,0.145
Cirrus_TEST009_005.tiff,19.491,0.147
Cirrus_TEST009_006.tiff,19.791,0.141
Cirrus_TEST009_007.tiff,19.48,0.127
Cirrus_TEST009_008.tiff,19.211,0.122
Cirrus_TEST009_009.tiff,19.245,0.133
Cirrus_TEST009_010.tiff,19.237,0.125
Cirrus_TEST009_011.tiff,19.441,0.127
Cirrus_TEST009_012.tiff,19.365,0.128
Cirrus_TEST009_013.tiff,19.304,0.125
Cirrus_TEST009_014.tiff,19.277,0.123
Cirrus_TEST009_015.tiff,19.257,0.124
Cirrus_TEST009_016.tiff,19.311,0.126
Cirrus_TEST009_017.tiff,19.353,0.123
Cirrus_TEST009_018.tiff,19.224,0.124
Cirrus_TEST009_019.tiff,19.428,0.129
Cirrus_TEST009_020.tiff,19.331,0.124
Cirrus_TEST009_021.tiff,19.199,0.127
Cirrus_TEST009_022.tiff,19.496,0.132
Cirrus_TEST009_023.tiff,19.539,0.131
Cirrus_TEST009_024.tiff,19.354,0.126
Cirrus_TEST009_025.tiff,19.578,0.137
Cirrus_TEST009_026.tiff,19.835,0.136
Cirrus_TEST009_027.tiff,19.905,0.139
Cirrus_TEST009_028.tiff,19.785,0.138
Cirrus_TEST009_029.tiff,19.675,0.131
Cirrus_TEST009_030.tiff,19.782,0.141
Cirrus_TEST009_031.tiff,19.351,0.128
Cirrus_TEST009_032.tiff,19.726,0.133
Cirrus_TEST009_033.tiff,20.101,0.148
Cirrus_TEST009_034.tiff,20.213,0.15
Cirrus_TEST009_035.tiff,19.695,0.135
Cirrus_TEST009_036.tiff,20.16,0.149
Cirrus_TEST009_037.tiff,20.282,0.145
Cirrus_TEST009_038.tiff,20.0,0.139
Cirrus_TEST009_039.tiff,20.008,0.144
Cirrus_TEST009_040.tiff,20.131,0.141
Cirrus_TEST009_041.tiff,20.318,0.15
Cirrus_TEST009_042.tiff,20.23,0.15
Cirrus_TEST009_043.tiff,19.993,0.143
Cirrus_TEST009_044.tiff,19.795,0.14
Cirrus_TEST009_045.tiff,19.575,0.133
Cirrus_TEST009_046.tiff,19.639,0.134
Cirrus_TEST009_047.tiff,19.487,0.131
Cirrus_TEST009_048.tiff,19.308,0.127
Cirrus_TEST009_049.tiff,19.093,0.123
Cirrus_TEST009_050.tiff,19.218,0.122
Cirrus_TEST009_051.tiff,19.321,0.127
Cirrus_TEST009_052.tiff,19.296,0.127
Cirrus_TEST009_053.tiff,19.119,0.117
Cirrus_TEST009_054.tiff,19.026,0.118
Cirrus_TEST009_055.tiff,19.26,0.128
Cirrus_TEST009_056.tiff,19.53,0.133
Cirrus_TEST009_057.tiff,19.437,0.147
Cirrus_TEST009_058.tiff,19.373,0.129
Cirrus_TEST009_059.tiff,19.267,0.14
Cirrus_TEST009_060.tiff,19.242,0.136
Cirrus_TEST009_061.tiff,19.238,0.133
Cirrus_TEST009_062.tiff,19.28,0.135
Cirrus_TEST009_063.tiff,19.507,0.129
Cirrus_TEST009_064.tiff,19.371,0.133
Cirrus_TEST009_065.tiff,19.395,0.133
Cirrus_TEST009_066.tiff,19.169,0.126
Cirrus_TEST009_067.tiff,19.257,0.133
Cirrus_TEST009_068.tiff,19.17,0.123
Cirrus_TEST009_069.tiff,19.213,0.126
Cirrus_TEST009_070.tiff,19.3,0.128
Cirrus_TEST009_071.tiff,19.45,0.128
Cirrus_TEST009_072.tiff,19.272,0.125
Cirrus_TEST009_073.tiff,19.307,0.127
Cirrus_TEST009_074.tiff,19.174,0.126
Cirrus_TEST009_075.tiff,19.16,0.124
Cirrus_TEST009_076.tiff,19.374,0.132
Cirrus_TEST009_077.tiff,19.375,0.128
Cirrus_TEST009_078.tiff,19.335,0.129
Cirrus_TEST009_079.tiff,19.525,0.135
Cirrus_TEST009_080.tiff,19.619,0.134
Cirrus_TEST009_081.tiff,19.466,0.131
Cirrus_TEST009_082.tiff,19.437,0.13
Cirrus_TEST009_083.tiff,19.443,0.13
Cirrus_TEST009_084.tiff,19.259,0.128
Cirrus_TEST009_085.tiff,19.44,0.133
Cirrus_TEST009_086.tiff,19.404,0.13
Cirrus_TEST009_087.tiff,19.547,0.132
Cirrus_TEST009_088.tiff,19.611,0.14
Cirrus_TEST009_089.tiff,19.661,0.14
Cirrus_TEST009_090.tiff,19.639,0.136
Cirrus_TEST009_091.tiff,19.597,0.143
Cirrus_TEST009_092.tiff,19.616,0.134
Cirrus_TEST009_093.tiff,19.55,0.132
Cirrus_TEST009_094.tiff,19.671,0.138
Cirrus_TEST009_095.tiff,19.797,0.139
Cirrus_TEST009_096.tiff,19.824,0.145
Cirrus_TEST009_097.tiff,19.751,0.141
Cirrus_TEST009_098.tiff,19.631,0.133
Cirrus_TEST009_099.tiff,19.715,0.14
Cirrus_TEST009_100.tiff,19.634,0.14
Cirrus_TEST009_101.tiff,19.787,0.142
Cirrus_TEST009_102.tiff,19.665,0.142
Cirrus_TEST009_103.tiff,19.555,0.138
Cirrus_TEST009_104.tiff,19.366,0.128
Cirrus_TEST009_105.tiff,19.523,0.13
Cirrus_TEST009_106.tiff,19.495,0.131
Cirrus_TEST009_107.tiff,19.453,0.131
Cirrus_TEST009_108.tiff,19.45,0.131
Cirrus_TEST009_109.tiff,19.371,0.133
Cirrus_TEST009_110.tiff,19.262,0.124
Cirrus_TEST009_111.tiff,19.271,0.127
Cirrus_TEST009_112.tiff,19.248,0.123
Cirrus_TEST009_113.tiff,19.335,0.125
Cirrus_TEST009_114.tiff,19.654,0.136
Cirrus_TEST009_115.tiff,19.633,0.135
Cirrus_TEST009_116.tiff,19.573,0.132
Cirrus_TEST009_117.tiff,19.572,0.134
Cirrus_TEST009_118.tiff,19.582,0.134
Cirrus_TEST009_119.tiff,19.492,0.136
Cirrus_TEST009_120.tiff,19.592,0.137
Cirrus_TEST009_121.tiff,19.737,0.143
Cirrus_TEST009_122.tiff,19.763,0.143
Cirrus_TEST009_123.tiff,19.515,0.131
Cirrus_TEST009_124.tiff,19.726,0.156
Cirrus_TEST009_125.tiff,19.852,0.151
Cirrus_TEST009_126.tiff,19.714,0.154
Cirrus_TEST013_001.tiff,19.735,0.195
Cirrus_TEST013_002.tiff,19.779,0.196
Cirrus_TEST013_003.tiff,19.84,0.2
Cirrus_TEST013_004.tiff,19.886,0.202
Cirrus_TEST013_005.tiff,19.765,0.196
Cirrus_TEST013_006.tiff,19.841,0.209
Cirrus_TEST013_007.tiff,19.788,0.194
Cirrus_TEST013_008.tiff,19.688,0.184
Cirrus_TEST013_009.tiff,19.776,0.186
Cirrus_TEST013_010.tiff,19.818,0.184
Cirrus_TEST013_011.tiff,19.609,0.175
Cirrus_TEST013_012.tiff,19.617,0.182
Cirrus_TEST013_013.tiff,19.576,0.174
Cirrus_TEST013_014.tiff,19.549,0.172
Cirrus_TEST013_015.tiff,19.53,0.165
Cirrus_TEST013_016.tiff,19.428,0.16
Cirrus_TEST013_017.tiff,19.429,0.155
Cirrus_TEST013_018.tiff,19.658,0.168
Cirrus_TEST013_019.tiff,19.67,0.16
Cirrus_TEST013_020.tiff,19.342,0.146
Cirrus_TEST013_021.tiff,19.258,0.148
Cirrus_TEST013_022.tiff,19.416,0.151
Cirrus_TEST013_023.tiff,19.328,0.144
Cirrus_TEST013_024.tiff,19.281,0.146
Cirrus_TEST013_025.tiff,19.391,0.142
Cirrus_TEST013_026.tiff,19.251,0.147
Cirrus_TEST013_027.tiff,19.306,0.147
Cirrus_TEST013_028.tiff,19.308,0.159
Cirrus_TEST013_029.tiff,19.321,0.155
Cirrus_TEST013_030.tiff,19.428,0.155
Cirrus_TEST013_031.tiff,19.436,0.146
Cirrus_TEST013_032.tiff,19.435,0.148
Cirrus_TEST013_033.tiff,19.302,0.15
Cirrus_TEST013_034.tiff,19.181,0.144
Cirrus_TEST013_035.tiff,19.359,0.149
Cirrus_TEST013_036.tiff,19.47,0.146
Cirrus_TEST013_037.tiff,19.356,0.143
Cirrus_TEST013_038.tiff,19.356,0.147
Cirrus_TEST013_039.tiff,19.219,0.139
Cirrus_TEST013_040.tiff,19.394,0.137
Cirrus_TEST013_041.tiff,19.348,0.136
Cirrus_TEST013_042.tiff,19.303,0.142
Cirrus_TEST013_043.tiff,19.263,0.141
Cirrus_TEST013_044.tiff,19.227,0.139
Cirrus_TEST013_045.tiff,19.19,0.137
Cirrus_TEST013_046.tiff,19.249,0.146
Cirrus_TEST013_047.tiff,19.471,0.141
Cirrus_TEST013_048.tiff,19.275,0.141
Cirrus_TEST013_049.tiff,19.488,0.146
Cirrus_TEST013_050.tiff,19.412,0.148
Cirrus_TEST013_051.tiff,19.342,0.149
Cirrus_TEST013_052.tiff,19.412,0.152
Cirrus_TEST013_053.tiff,19.332,0.151
Cirrus_TEST013_054.tiff,19.258,0.14
Cirrus_TEST013_055.tiff,18.989,0.141
Cirrus_TEST013_056.tiff,19.108,0.137
Cirrus_TEST013_057.tiff,19.314,0.138
Cirrus_TEST013_058.tiff,19.315,0.138
Cirrus_TEST013_059.tiff,19.236,0.141
Cirrus_TEST013_060.tiff,19.197,0.142
Cirrus_TEST013_061.tiff,19.1,0.135
Cirrus_TEST013_062.tiff,19.07,0.134
Cirrus_TEST013_063.tiff,19.136,0.131
Cirrus_TEST013_064.tiff,19.345,0.138
Cirrus_TEST013_065.tiff,19.271,0.138
Cirrus_TEST013_066.tiff,19.033,0.13
Cirrus_TEST013_067.tiff,19.333,0.137
Cirrus_TEST013_068.tiff,19.319,0.136
Cirrus_TEST013_069.tiff,19.175,0.133
Cirrus_TEST013_070.tiff,19.13,0.131
Cirrus_TEST013_071.tiff,19.329,0.14
Cirrus_TEST013_072.tiff,19.234,0.139
Cirrus_TEST013_073.tiff,19.265,0.135
Cirrus_TEST013_074.tiff,19.445,0.138
Cirrus_TEST013_075.tiff,19.542,0.141
Cirrus_TEST013_076.tiff,19.503,0.146
Cirrus_TEST013_077.tiff,19.611,0.149
Cirrus_TEST013_078.tiff,19.238,0.133
Cirrus_TEST013_079.tiff,19.2,0.133
Cirrus_TEST013_080.tiff,19.126,0.129
Cirrus_TEST013_081.tiff,19.093,0.132
Cirrus_TEST013_082.tiff,19.239,0.132
Cirrus_TEST013_083.tiff,19.413,0.136
Cirrus_TEST013_084.tiff,19.434,0.136
Cirrus_TEST013_085.tiff,19.278,0.133
Cirrus_TEST013_086.tiff,19.007,0.127
Cirrus_TEST013_087.tiff,19.154,0.134
Cirrus_TEST013_088.tiff,19.324,0.141
Cirrus_TEST013_089.tiff,19.425,0.143
Cirrus_TEST013_090.tiff,19.433,0.142
Cirrus_TEST013_091.tiff,19.458,0.14
Cirrus_TEST013_092.tiff,19.247,0.136
Cirrus_TEST013_093.tiff,19.492,0.135
Cirrus_TEST013_094.tiff,19.483,0.147
Cirrus_TEST013_095.tiff,19.129,0.138
Cirrus_TEST013_096.tiff,19.209,0.135
Cirrus_TEST013_097.tiff,19.596,0.142
Cirrus_TEST013_098.tiff,19.761,0.143
Cirrus_TEST013_099.tiff,19.524,0.134
Cirrus_TEST013_100.tiff,19.547,0.138
Cirrus_TEST013_101.tiff,19.319,0.136
Cirrus_TEST013_102.tiff,19.169,0.128
Cirrus_TEST013_103.tiff,19.469,0.135
Cirrus_TEST013_104.tiff,19.515,0.136
Cirrus_TEST013_105.tiff,19.42,0.134
Cirrus_TEST013_106.tiff,19.405,0.132
Cirrus_TEST013_107.tiff,19.22,0.132
Cirrus_TEST013_108.tiff,19.344,0.144
Cirrus_TEST013_109.tiff,19.451,0.144
Cirrus_TEST013_110.tiff,19.638,0.158
Cirrus_TEST013_111.tiff,19.521,0.151
Cirrus_TEST013_112.tiff,19.649,0.149
Cirrus_TEST013_113.tiff,19.573,0.155
Cirrus_TEST013_114.tiff,19.66,0.161
Cirrus_TEST013_115.tiff,19.65,0.157
Cirrus_TEST013_116.tiff,19.842,0.159
Cirrus_TEST013_117.tiff,19.796,0.164
Cirrus_TEST013_118.tiff,19.898,0.161
Cirrus_TEST013_119.tiff,19.903,0.164
Cirrus_TEST013_120.tiff,19.848,0.157
Cirrus_TEST013_121.tiff,19.911,0.161
Cirrus_TEST013_122.tiff,19.959,0.159
Cirrus_TEST013_123.tiff,19.959,0.159
Cirrus_TEST013_124.tiff,20.043,0.167
Cirrus_TEST013_125.tiff,19.972,0.163
Cirrus_TEST013_126.tiff,20.078,0.172
Cirrus_TRAIN001_001.tiff,19.523,0.16
Cirrus_TRAIN001_002.tiff,19.508,0.155
Cirrus_TRAIN001_003.tiff,19.478,0.148
Cirrus_TRAIN001_004.tiff,19.491,0.148
Cirrus_TRAIN001_005.tiff,19.612,0.159
Cirrus_TRAIN001_006.tiff,19.526,0.152
Cirrus_TRAIN001_007.tiff,19.381,0.163
Cirrus_TRAIN001_008.tiff,19.492,0.159
Cirrus_TRAIN001_009.tiff,19.248,0.149
Cirrus_TRAIN001_010.tiff,19.255,0.148
Cirrus_TRAIN001_011.tiff,19.175,0.146
Cirrus_TRAIN001_012.tiff,19.312,0.155
Cirrus_TRAIN001_013.tiff,19.548,0.164
Cirrus_TRAIN001_014.tiff,19.455,0.151
Cirrus_TRAIN001_015.tiff,19.484,0.148
Cirrus_TRAIN001_016.tiff,19.345,0.148
Cirrus_TRAIN001_017.tiff,19.629,0.15
Cirrus_TRAIN001_018.tiff,19.416,0.144
Cirrus_TRAIN001_019.tiff,19.515,0.142
Cirrus_TRAIN001_020.tiff,19.584,0.149
Cirrus_TRAIN001_021.tiff,19.496,0.148
Cirrus_TRAIN001_022.tiff,19.178,0.139
Cirrus_TRAIN001_023.tiff,19.45,0.147
Cirrus_TRAIN001_024.tiff,19.405,0.144
Cirrus_TRAIN001_025.tiff,19.328,0.145
Cirrus_TRAIN001_026.tiff,19.319,0.143
Cirrus_TRAIN001_027.tiff,19.515,0.155
Cirrus_TRAIN001_028.tiff,19.527,0.156
Cirrus_TRAIN001_029.tiff,19.327,0.152
Cirrus_TRAIN001_030.tiff,19.328,0.155
Cirrus_TRAIN001_031.tiff,19.473,0.154
Cirrus_TRAIN001_032.tiff,19.372,0.144
Cirrus_TRAIN001_033.tiff,19.176,0.133
Cirrus_TRAIN001_034.tiff,19.269,0.135
Cirrus_TRAIN001_035.tiff,19.511,0.146
Cirrus_TRAIN001_036.tiff,19.522,0.138
Cirrus_TRAIN001_037.tiff,19.451,0.143
Cirrus_TRAIN001_038.tiff,19.48,0.139
Cirrus_TRAIN001_039.tiff,19.325,0.133
Cirrus_TRAIN001_040.tiff,19.311,0.131
Cirrus_TRAIN001_041.tiff,19.475,0.131
Cirrus_TRAIN001_042.tiff,19.434,0.132
Cirrus_TRAIN001_043.tiff,19.53,0.133
Cirrus_TRAIN001_044.tiff,19.401,0.125
Cirrus_TRAIN001_045.tiff,19.422,0.127
Cirrus_TRAIN001_046.tiff,19.513,0.131
Cirrus_TRAIN001_047.tiff,19.545,0.134
Cirrus_TRAIN001_048.tiff,19.278,0.126
Cirrus_TRAIN001_049.tiff,19.428,0.133
