slice,dice_class_0,dice_class_1,dice_class_2,dice_class_3,dice_class_4,voxels_class_0,voxels_class_1,voxels_class_2,voxels_class_3,voxels_class_4,total_dice
Cirrus_TRAIN019_091.tiff,0.9917499423027039,1.4285711813499802e-07,3.030303119544442e-08,4.750593807223424e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.9836349487304688
Cirrus_TRAIN019_092.tiff,0.9760519862174988,5.030181271514778e-10,8.741258827882348e-10,3.33444494238222e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.9532241821289062
Cirrus_TRAIN019_093.tiff,0.9913076758384705,1.111110989882036e-07,1.0,4.4444445346236705e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.9827651977539062
Cirrus_TRAIN019_094.tiff,0.993638813495636,1.0,1.0,6.035003052851096e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.9873580932617188
Cirrus_TRAIN019_095.tiff,0.991932213306427,1.3157894329651754e-08,1.0,4.945598375272198e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.9839935302734375
Cirrus_TRAIN019_096.tiff,0.985903263092041,1.0,1.0,2.744237059815191e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.972198486328125
Cirrus_TRAIN019_097.tiff,0.9864286780357361,2.499999425253918e-07,1.0,2.852253155882778e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.9732208251953125
Cirrus_TRAIN019_098.tiff,0.9759799838066101,4.385964924580321e-09,1.0193680344272593e-09,2.0242914289259062e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.9530868530273438
Cirrus_TRAIN019_099.tiff,0.943972647190094,1.3912075658151224e-10,2.1450020926128133e-10,4.859086466524332e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.893890380859375
Cirrus_TRAIN019_100.tiff,0.9861032962799072,1.0,1.0,2.783189512189921e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.9725875854492188
Cirrus_TRAIN019_101.tiff,0.9901614189147949,5.8823523829687474e-08,1.0,3.941663384576799e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.9805145263671875
Cirrus_TRAIN019_102.tiff,0.9239767789840698,1.2331977106150305e-10,1.2479720035152297e-10,4.168403400228726e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.8586959838867188
Cirrus_TRAIN019_103.tiff,0.9692112803459167,3.4952812866251293e-10,2.5853152951782477e-10,9.082651852843071e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.9402618408203125
Cirrus_TRAIN019_104.tiff,0.9151330590248108,1.3551972044556493e-10,8.383635452524629e-11,8.333333467724913e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.8435440063476562
Cirrus_TRAIN019_105.tiff,0.9858091473579407,1.0,1.333333354835986e-08,2.783189512189921e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.972015380859375
Cirrus_TRAIN019_106.tiff,0.9457775950431824,2.15517242940777e-10,1.7155601939045084e-10,3.3178501612773914e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.8971328735351562
Cirrus_TRAIN019_107.tiff,0.9127618074417114,8.761938397050528e-11,1.5078407966662155e-10,3.3456004633336534e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.8395233154296875
Cirrus_TRAIN019_108.tiff,0.9889384508132935,1.2820512651501303e-08,1.0,3.584229302244779e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.978118896484375
Cirrus_TRAIN019_109.tiff,0.996163010597229,1.0,1.0,9.980040127643974e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.9923553466796875
Cirrus_TRAIN019_110.tiff,0.9551853537559509,3.8080730235812155e-10,1.9368584514012355e-10,2.8943558660898816e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.914215087890625
Cirrus_TRAIN019_111.tiff,0.9897099733352661,1.0,1.0,3.745318222225791e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.9796295166015625
Cirrus_TRAIN019_112.tiff,0.9910864233970642,1.4285713945128009e-08,1.6666663782416435e-07,4.464285607852503e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.982330322265625
Cirrus_TRAIN019_113.tiff,0.9810707569122314,4.347826099149188e-09,6.472491986819762e-10,3.231017675631165e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.9628448486328125
Cirrus_TRAIN019_114.tiff,0.9847997426986694,4.9999993478877514e-08,7.518797140448896e-09,2.651113495399926e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.9700546264648438
Cirrus_TRAIN019_115.tiff,0.9880407452583313,5.586592077833075e-09,3.1847133818985185e-09,3.8387715228793695e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.9763641357421875
Cirrus_TRAIN019_116.tiff,0.9840364456176758,1.0,1.0,2.4277738153166695e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.9685745239257812
Cirrus_TRAIN019_117.tiff,0.9321384429931641,2.480158856066339e-10,1.0489877022568095e-10,3.232062117941581e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.8729019165039062
Cirrus_TRAIN019_118.tiff,0.9931015372276306,1.0,1.0,5.567928895722218e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.986297607421875
Cirrus_TRAIN019_119.tiff,0.9426863789558411,1.670843741141681e-10,1.637733421100407e-10,4.719207247205759e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.8915863037109375
Cirrus_TRAIN019_120.tiff,0.9910398125648499,1.0,1.0,4.2955325407767475e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.98223876953125
Cirrus_TRAIN019_121.tiff,0.9728825092315674,1.1325028692610317e-09,3.952569105347692e-10,2.8506272342632144e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.9471969604492188
Cirrus_TRAIN019_122.tiff,0.9937894940376282,9.090908292819222e-08,1.999999987845058e-08,6.422607445877304e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.9876556396484375
Cirrus_TRAIN019_123.tiff,0.9937663078308105,3.7037032996067865e-08,1.0,6.261740570501217e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.98760986328125
Cirrus_TRAIN019_124.tiff,0.8906540274620056,7.510890520645574e-11,9.165062458960094e-11,6.195786661500335e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.8028640747070312
Cirrus_TRAIN019_125.tiff,0.992830753326416,3.508771939664257e-09,2.2988506653831564e-09,8.726003253300973e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.9857635498046875
Cirrus_TRAIN019_126.tiff,0.9897333383560181,6.578947164825877e-09,2.1276596484653965e-08,4.0567951775649647e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.97967529296875
Cirrus_TRAIN019_127.tiff,0.9928075075149536,6.249999273677531e-08,8.333332601750953e-08,5.422993720749503e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.9857177734375
Cirrus_TRAIN024_000.tiff,0.9888721108436584,1.0,1.0,3.4662045456101964e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.9779891967773438
Cirrus_TRAIN024_001.tiff,0.9969465732574463,1.0,2.7855153739153593e-09,2.2779043096221585e-09,1.0,131072.0,0.0,0.0,0.0,0.0,0.9939117431640625
Cirrus_TRAIN024_002.tiff,0.9970041513442993,9.99999087980541e-07,7.1942447554818045e-09,1.555209960812931e-09,1.0,131072.0,0.0,0.0,0.0,0.0,0.9940261840820312
Cirrus_TRAIN024_003.tiff,0.9968467950820923,1.0,2.0833333280734223e-08,1.288659845499751e-09,1.0,131072.0,0.0,0.0,0.0,0.0,0.99371337890625
Cirrus_TRAIN024_004.tiff,0.9970540404319763,1.0,4.739336478820633e-09,1.7889087988720576e-09,1.0,131072.0,0.0,0.0,0.0,0.0,0.9941253662109375
Cirrus_TRAIN024_005.tiff,0.9883024096488953,4.9999993478877514e-08,8.333332601750953e-08,3.33444494238222e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.9768753051757812
Cirrus_TRAIN024_006.tiff,0.9974759221076965,1.0,6.249999273677531e-08,1.5527950036897664e-09,1.0,131072.0,0.0,0.0,0.0,0.0,0.994964599609375
Cirrus_TRAIN024_007.tiff,0.9976330995559692,7.142856617292637e-08,9.999998695775503e-08,1.6806722680229313e-09,1.0,131072.0,0.0,0.0,0.0,0.0,0.9952774047851562
Cirrus_TRAIN024_008.tiff,0.999305248260498,1.0,1.0638298242326982e-08,1.1363636254202447e-08,1.0,131072.0,0.0,0.0,0.0,0.0,0.9986114501953125
Cirrus_TRAIN024_009.tiff,0.9966010451316833,1.0,1.6949153192058475e-08,1.2062726373329724e-09,1.0,131072.0,0.0,0.0,0.0,0.0,0.99322509765625
Cirrus_TRAIN024_010.tiff,0.9943453669548035,1.0,9.99999993922529e-09,7.278020408563179e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.9887542724609375
Cirrus_TRAIN024_011.tiff,0.9976522922515869,1.0,1.7543859698321285e-08,1.7953321052033289e-09,1.0,131072.0,0.0,0.0,0.0,0.0,0.9953155517578125
Cirrus_TRAIN024_012.tiff,0.995058536529541,1.0,3.1249999921101335e-08,7.95544963239081e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.9901657104492188
Cirrus_TRAIN024_013.tiff,0.9969542622566223,1.1494252660781967e-08,1.0,1.410437211468718e-09,1.0,131072.0,0.0,0.0,0.0,0.0,0.993927001953125
Cirrus_TRAIN024_014.tiff,0.9993472695350647,1.0,5.98802385454178e-09,2.499999425253918e-07,1.0,131072.0,0.0,0.0,0.0,0.0,0.9986953735351562
Cirrus_TRAIN024_015.tiff,0.9808014035224915,4.6511627882495077e-10,4.777830908686553e-10,1.4388489288919004e-09,1.0,131072.0,0.0,0.0,0.0,0.0,0.9623260498046875
Cirrus_TRAIN024_016.tiff,0.995663046836853,1.0,1.1494252660781967e-08,9.569377512619326e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.991363525390625
Cirrus_TRAIN024_017.tiff,0.9951509833335876,1.0,1.0,7.905138210695384e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.9903488159179688
Cirrus_TRAIN024_018.tiff,0.9937006235122681,1.0,1.0,6.093845428267741e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.9874801635742188
Cirrus_TRAIN024_019.tiff,0.9978247284889221,1.0,1.0,1.7574692812161175e-09,1.0,131072.0,0.0,0.0,0.0,0.0,0.9956588745117188
Cirrus_TRAIN024_020.tiff,0.9926488399505615,1.0,1.0,5.227391297601969e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.9854049682617188
Cirrus_TRAIN024_021.tiff,0.9953435659408569,1.0,1.6949153192058475e-08,8.650519189856709e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.9907302856445312
Cirrus_TRAIN024_022.tiff,0.9953204393386841,1.0,1.4285713945128009e-08,8.688097463682709e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.9906845092773438
Cirrus_TRAIN024_023.tiff,0.9979549646377563,1.0,3.3333321880490985e-07,1.879699285112224e-09,1.0,131072.0,0.0,0.0,0.0,0.0,0.9959182739257812
