slice,dice_Background,dice_IRF,voxels_Background,voxels_IRF,union_Background,union_IRF,intersection_Background,intersection_IRF,binary_dice
Topcon_TRAIN054_059.tiff,0.9879339933395386,0.5235552191734314,250369,3583,495359,12545,244691,3284,0.5235552191734314
Topcon_TRAIN054_060.tiff,0.9895114302635193,0.6722123622894287,248068,5884,492156,15748,243497,5293,0.6722123622894287
Topcon_TRAIN054_061.tiff,0.9913370609283447,0.713066816329956,248466,5486,493019,14885,244374,5307,0.713066816329956
Topcon_TRAIN054_062.tiff,0.9921936988830566,0.6947252154350281,248939,5013,495240,12664,245687,4399,0.6947252154350281
Topcon_TRAIN054_063.tiff,0.9914092421531677,0.6421432495117188,248736,5216,495997,11907,245868,3823,0.6421432495117188
Topcon_TRAIN054_064.tiff,0.9926338195800781,0.7212237119674683,248917,5035,494829,13075,245592,4715,0.7212237119674683
Topcon_TRAIN054_065.tiff,0.9897846579551697,0.5213868618011475,251170,2782,497290,10614,246105,2767,0.5213868618011475
Topcon_TRAIN054_066.tiff,0.9905676245689392,0.6086665391921997,250294,3658,495950,11954,245636,3638,0.6086665391921997
Topcon_TRAIN054_067.tiff,0.9912838339805603,0.5321851372718811,251477,2475,498614,9290,247134,2472,0.5321851372718811
Topcon_TRAIN054_068.tiff,0.9894505143165588,0.4926051199436188,251384,2568,497559,10345,246155,2548,0.4926051199436188
Topcon_TRAIN054_069.tiff,0.9911762475967407,0.4488316774368286,252131,1821,499901,8003,247745,1796,0.4488316774368286
Topcon_TRAIN054_070.tiff,0.9927274584770203,0.4200317859649658,252616,1336,501614,6290,248983,1321,0.4200317859649658
