slice,dice_Background,dice_SRF,voxels_Background,voxels_SRF,union_Background,union_SRF,intersection_Background,intersection_SRF,binary_dice
Cirrus_TRAIN001_124.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Cirrus_TRAIN001_125.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Cirrus_TRAIN001_126.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Cirrus_TRAIN001_127.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Cirrus_TRAIN004_000.tiff,0.9984836578369141,0.0,253952,0,507135,769,253183,0,0.0
Cirrus_TRAIN004_001.tiff,0.9991960525512695,0.0,253952,0,507496,408,253544,0,0.0
Cirrus_TRAIN004_002.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Cirrus_TRAIN004_003.tiff,0.9980983734130859,0.0,253952,0,506940,964,252988,0,0.0
Cirrus_TRAIN004_004.tiff,0.9984086155891418,0.0,253952,0,507097,807,253145,0,0.0
Cirrus_TRAIN004_005.tiff,0.9998680949211121,0.0,253952,0,507837,67,253885,0,0.0
Cirrus_TRAIN004_006.tiff,0.9996159076690674,0.0,253952,0,507709,195,253757,0,0.0
Cirrus_TRAIN004_007.tiff,0.9994621872901917,0.0,253952,0,507631,273,253679,0,0.0
Cirrus_TRAIN004_008.tiff,0.999779462814331,0.0,253952,0,507792,112,253840,0,0.0
Cirrus_TRAIN004_009.tiff,0.9991564154624939,0.2132352888584137,253894,58,507360,544,253466,58,0.2132352888584137
Cirrus_TRAIN004_010.tiff,0.9995129108428955,0.6900878548622131,253590,362,507107,797,253430,275,0.6900878548622131
Cirrus_TRAIN004_011.tiff,0.998604416847229,0.6511857509613037,252820,1132,505880,2024,252587,659,0.6511857509613037
Cirrus_TRAIN004_012.tiff,0.9991103410720825,0.7836538553237915,252995,957,505824,2080,252687,815,0.7836538553237915
Cirrus_TRAIN004_013.tiff,0.9984251856803894,0.6743044257164001,253043,909,505460,2444,252332,824,0.6743044257164001
Cirrus_TRAIN004_014.tiff,0.9986992478370667,0.7654409408569336,252629,1323,505103,2801,252223,1072,0.7654409408569336
Cirrus_TRAIN004_015.tiff,0.9977168440818787,0.6949377059936523,252332,1620,504131,3773,251490,1311,0.6949377059936523
Cirrus_TRAIN004_016.tiff,0.9983081817626953,0.7707605361938477,252034,1918,504183,3721,251665,1434,0.7707605361938477
Cirrus_TRAIN004_017.tiff,0.9983851313591003,0.7877997756004333,252010,1942,504068,3836,251627,1511,0.7877997756004333
Cirrus_TRAIN004_018.tiff,0.9978352785110474,0.7505720853805542,251996,1956,503534,4370,251222,1640,0.7505720853805542
Cirrus_TRAIN004_019.tiff,0.9983023405075073,0.7999063730239868,252033,1919,503631,4273,251388,1709,0.7999063730239868
Cirrus_TRAIN004_020.tiff,0.998388946056366,0.7909371852874756,252134,1818,504020,3884,251604,1536,0.7909371852874756
Cirrus_TRAIN004_021.tiff,0.9986125230789185,0.7938751578330994,252474,1478,504508,3396,251904,1348,0.7938751578330994
Cirrus_TRAIN004_022.tiff,0.9981128573417664,0.7227723002433777,252585,1367,504470,3434,251759,1241,0.7227723002433777
Cirrus_TRAIN004_023.tiff,0.9985498189926147,0.7662835121154785,252545,1407,504772,3132,252020,1200,0.7662835121154785
Cirrus_TRAIN004_024.tiff,0.9988556504249573,0.7013924717903137,253140,812,505965,1939,252693,680,0.7013924717903137
Cirrus_TRAIN004_025.tiff,0.9989352822303772,0.793553352355957,252687,1265,505298,2606,252380,1034,0.793553352355957
Cirrus_TRAIN004_026.tiff,0.9988908171653748,0.7377278804779053,253020,932,505765,2139,252602,789,0.7377278804779053
Cirrus_TRAIN004_027.tiff,0.9991576075553894,0.8077617287635803,252978,974,505688,2216,252631,895,0.8077617287635803
Cirrus_TRAIN004_028.tiff,0.9982892274856567,0.699373722076416,252669,1283,505030,2874,252083,1005,0.699373722076416
Cirrus_TRAIN004_029.tiff,0.9982292056083679,0.6383838653564453,252704,1248,505429,2475,252267,790,0.6383838653564453
Cirrus_TRAIN004_030.tiff,0.9986802339553833,0.7345801591873169,252667,1285,505391,2513,252362,923,0.7345801591873169
Cirrus_TRAIN004_031.tiff,0.9985736012458801,0.7705544829368591,252610,1342,504766,3138,252023,1209,0.7705544829368591
Cirrus_TRAIN004_032.tiff,0.9978012442588806,0.6850326657295227,252382,1570,504383,3521,251637,1206,0.6850326657295227
Cirrus_TRAIN004_033.tiff,0.9985091090202332,0.7859988808631897,252342,1610,504390,3514,251819,1381,0.7859988808631897
Cirrus_TRAIN004_034.tiff,0.9988517761230469,0.8409777283668518,252219,1733,504263,3641,251842,1531,0.8409777283668518
